uid,brand,url,price,currency,image_url,collection,reference_code,life_span_date,life_span,price_eur,year,quarter,price_category,year_quarter
797646,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam00983-submersible-chrono-guillaume-nery-edition----47mm.html,39500,CHF,"https://www.panerai.com/content/dam/rcq/pan/18/18/65/7/1818657.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/18/18/65/7/1818657.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM00983,2021-11-30,Q4 November 2021,37871.52444870566,2021,4,High End,2021Q4
797647,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam00985-submersible-mike-horn-edition---47mm.html,40600,CHF,"https://www.panerai.com/content/dam/rcq/pan/18/18/76/5/1818765.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/18/18/76/5/1818765.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM00985,2021-11-30,Q4 November 2021,38926.1744966443,2021,4,High End,2021Q4
797648,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam00961-submersible-marina-militare-carbotech---47mm.html,40600,CHF,"https://www.panerai.com/content/dam/rcq/pan/18/18/65/4/1818654.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/18/18/65/4/1818654.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM00961,2021-11-30,Q4 November 2021,38926.1744966443,2021,4,High End,2021Q4
797649,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/submersible/pam01108-submersible-ecopangaea-tourbillon-gmt---50mm-mike-horn-.html,193000,CHF,"https://www.panerai.com/content/dam/rcq/pan/20/35/33/0/2035330.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/20/35/33/0/2035330.png.transform.product_reference_image_230_2x.png 2x",SUBMERSIBLE,PNPAM01108,2021-11-30,Q4 November 2021,185043.1447746884,2021,4,Ultra Luxury,2021Q4
797651,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01270-luminor-marina-quaranta.html,6900,CHF,"https://www.panerai.com/content/dam/rcq/pan/22/37/39/8/2237398.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/22/37/39/8/2237398.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01270,2021-11-30,Q4 November 2021,6615.532118887824,2021,4,Entry Level,2021Q4
797652,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01271-luminor-marina-quaranta.html,6900,CHF,"https://www.panerai.com/content/dam/rcq/pan/22/37/63/3/2237633.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/22/37/63/3/2237633.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01271,2021-11-30,Q4 November 2021,6615.532118887824,2021,4,Entry Level,2021Q4
797653,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01272-luminor-marina-quaranta.html,6900,CHF,"https://www.panerai.com/content/dam/rcq/pan/22/37/63/4/2237634.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/22/37/63/4/2237634.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01272,2021-11-30,Q4 November 2021,6615.532118887824,2021,4,Entry Level,2021Q4
797654,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01298-luminor-chrono--flyback-ceramica.html,15700,CHF,"https://www.panerai.com/content/dam/rcq/pan/22/24/33/8/2224338.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/22/24/33/8/2224338.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01298,2021-11-30,Q4 November 2021,15052.732502396933,2021,4,Mid Range,2021Q4
797655,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01664-luminor-marina-carbotech---44mm.html,13800,CHF,"https://www.panerai.com/content/dam/rcq/pan/22/22/26/5/2222265.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/22/22/26/5/2222265.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01664,2021-11-30,Q4 November 2021,13231.064237775649,2021,4,Mid Range,2021Q4
797656,Panerai,https://www.panerai.com/ch/fr/collections/watch-collection/luminor/pam01114-luminor-marina-goldtech---44mm.html,28400,CHF,"https://www.panerai.com/content/dam/rcq/pan/22/30/74/3/2230743.png.transform.product_reference_image_230.png, /content/dam/rcq/pan/22/30/74/3/2230743.png.transform.product_reference_image_230_2x.png 2x",LUMINOR,PNPAM01114,2021-11-30,Q4 November 2021,27229.146692233942,2021,4,High End,2021Q4
